gsis_id,cfb_dominator,cfb_best_dominator,cfb_breakout_age,cfb_final_age,cfb_rec_yards,cfb_rush_yards,cfb_seasons
00-0035676,0.026087,0.183305,,21.1718,0.0,0.0,3.0
00-0035710,0.076902,0.10367,,21.264887,25.0,487.0,3.0
00-0035719,0.073171,0.189998,,22.628337,0.0,0.0,4.0
00-0035685,0.061856,0.199363,,21.234771,0.0,0.0,3.0
00-0035689,0.033931,0.03879,,21.79603,284.0,0.0,2.0
00-0035140,0.022727,0.103716,,20.473648,0.0,0.0,2.0
00-0035659,0.102318,0.102318,,22.962355,551.0,0.0,3.0
00-0035216,0.009524,0.159205,,22.157426,0.0,0.0,3.0
00-0035406,,,,,,,
00-0034960,,,,,,,
00-0035261,0.09731,0.09731,,21.338809,458.0,443.0,3.0
00-0035500,,,,,,,
00-0035249,0.004902,0.123862,,21.448323,0.0,0.0,4.0
00-0034981,0.069358,0.069358,,21.322382,250.0,0.0,3.0
00-0034972,0.199929,0.199929,,20.202601,169.0,1327.0,3.0
00-0034975,0.14866,0.16865,,20.796715,68.0,877.0,3.0
00-0035631,0.02,0.061976,,22.376454,0.0,0.0,4.0
00-0035289,0.172043,0.306793,22.294319,22.294319,0.0,0.0,3.0
00-0035594,,,,,,,
00-0035537,0.071804,0.153421,,20.95551,22.0,506.0,4.0
00-0035100,,,,,,,
00-0035250,0.217786,0.246306,19.994524,20.99384,36.0,1257.0,3.0
00-0035264,0.121577,0.122711,,22.064339,87.0,166.0,3.0
00-0035535,0.091968,0.091968,,21.634497,458.0,0.0,3.0
00-0035243,0.050311,0.197958,,21.336071,0.0,3.0,3.0
00-0035359,,,,,,,
00-0035208,,,,,,,
00-0035298,0.24987,0.24987,21.086927,21.086927,1130.0,16.0,4.0
00-0035182,,,,,,,
00-0035021,,,,,,,
00-0035645,,,,,,,
00-0036212,0.088656,0.088656,,21.500342,553.0,81.0,3.0
00-0036442,0.202479,0.347725,21.724846,22.724162,0.0,0.0,4.0
00-0036407,0.145495,0.145495,,20.355921,879.0,0.0,3.0
00-0036358,0.00487,0.127672,,20.399726,12.0,0.0,3.0
00-0036357,0.096997,0.098043,,20.602327,586.0,75.0,3.0
00-0036275,0.153963,0.153963,,20.629706,216.0,1216.0,3.0
00-0036322,0.114947,0.152756,,20.210815,1152.0,0.0,3.0
00-0036355,0.203758,0.203758,21.478439,21.478439,0.0,172.0,4.0
00-0036410,0.189472,0.189472,,20.618754,1049.0,0.0,3.0
00-0036261,0.214711,0.214711,21.459274,21.459274,1192.0,6.0,2.0
00-0036264,0.089552,0.461538,19.830253,20.829569,0.0,-5.0,3.0
00-0036158,0.090164,0.271299,20.706366,20.706366,0.0,0.0,3.0
00-0036223,0.368253,0.368253,18.617385,20.616016,120.0,1908.0,3.0
00-0036252,0.08871,0.247333,21.905544,21.905544,0.0,0.0,4.0
00-0036360,0.082474,0.208773,20.391513,20.391513,0.0,0.0,3.0
00-0036290,0.0,0.076478,,20.479124,0.0,0.0,3.0
00-0036265,,,,,,,
00-0036331,0.029801,0.2675,21.968515,21.968515,0.0,0.0,4.0
00-0036244,0.0,0.094361,,20.648871,0.0,0.0,3.0
00-0036422,,,,,,,
00-0036389,0.144921,0.326143,18.069815,21.067762,0.0,4.0,4.0
00-0036425,,,,,,,
00-0036414,0.055457,0.193552,,20.194387,0.0,4.0,3.0
00-0036196,,,,,,,
00-0036328,0.099944,0.099944,,21.190965,618.0,350.0,2.0
00-0035806,,,,,,,
00-0036040,,,,,,,
00-0036139,,,,,,,
00-0036259,0.029412,0.284222,22.143737,22.143737,0.0,0.0,5.0
00-0036345,,,,,,,
00-0036429,0.008475,0.02163,,21.875428,0.0,0.0,4.0
00-0035993,,,,,,,
00-0036309,0.0,0.217169,20.84052,21.839836,0.0,0.0,4.0
00-0036182,,,,,,,
00-0036971,0.16083,0.16083,,20.906229,75.0,198.0,3.0
00-0036912,0.165052,0.166283,,21.798768,1043.0,11.0,4.0
00-0036613,0.073926,0.091667,,21.768652,516.0,12.0,3.0
00-0036972,0.269247,0.269247,21.990418,21.990418,407.0,49.0,3.0
00-0036893,0.293002,0.293002,22.483231,22.483231,249.0,1080.0,4.0
00-0037004,,,,,,,
00-0036590,,,,,,,
00-0037013,0.290389,0.290389,21.081451,21.081451,109.0,268.0,3.0
00-0036973,0.24729,0.24729,20.596851,21.598905,473.0,768.0,4.0
00-0036963,0.26293,0.26293,20.856947,20.856947,404.0,0.0,3.0
00-0036970,0.082731,0.082754,,19.904175,664.0,0.0,3.0
00-0036567,0.18706,0.18706,,22.335387,108.0,750.0,4.0
00-0036849,,,,,,,
00-0036900,0.004582,0.125624,,19.501711,18.0,0.0,2.0
00-0036919,0.199961,0.199961,,20.468172,532.0,1424.0,1.0
00-0036556,,,,,,,
00-0036554,0.109808,0.109808,,20.454483,665.0,0.0,3.0
00-0036550,0.194399,0.194399,,20.758385,472.0,0.0,3.0
00-0036898,0.160261,0.16931,,21.864476,0.0,70.0,3.0
00-0036626,0.090909,0.226114,20.835044,20.835044,0.0,0.0,3.0
00-0036997,0.288293,0.288293,20.353183,20.353183,305.0,1140.0,3.0
00-0036945,0.290651,0.290651,21.494867,21.494867,85.0,326.0,3.0
00-0036555,0.154059,0.371922,20.224504,21.226557,47.0,623.0,3.0
